action,course,city,id,verified,tee,our_rating,our_slope,oga_rating,oga_slope,delta,tees_conflicting,why
0-RESOLVED-NOACTION,Barton Creek Resort- Fazio Foothills,Austin,barton-creek-resort,Y,Black,74.9,141,75.4,143,R-0.5 S-2,4,RESOLVED here — our 7-tee set is fuller; shared tees differ ~0.5 (re-rating) and the Red tees are different positions. Re-import would MISALIGN. Leave as-is.
0-RESOLVED-NOACTION,Barton Creek Resort- Fazio Foothills,Austin,barton-creek-resort,Y,Gold,72.8,138,73.6,140,R-0.8 S-2,4,RESOLVED here — our 7-tee set is fuller; shared tees differ ~0.5 (re-rating) and the Red tees are different positions. Re-import would MISALIGN. Leave as-is.
0-RESOLVED-NOACTION,Barton Creek Resort- Fazio Foothills,Austin,barton-creek-resort,Y,Red,65.6,122,70.4,123,R-4.8 S-1,4,RESOLVED here — our 7-tee set is fuller; shared tees differ ~0.5 (re-rating) and the Red tees are different positions. Re-import would MISALIGN. Leave as-is.
0-RESOLVED-NOACTION,Barton Creek Resort- Fazio Foothills,Austin,barton-creek-resort,Y,White,69.8,129,70.1,134,R-0.3 S-5,4,RESOLVED here — our 7-tee set is fuller; shared tees differ ~0.5 (re-rating) and the Red tees are different positions. Re-import would MISALIGN. Leave as-is.
0-RESOLVED-NOACTION,Comanche Trail Golf Course,Amarillo,comanche-trail-golf-course,Y,Blue,71.6,124,70.9,113,R+0.7 S+11,1,RESOLVED here — library Blue 71.6/124 already equals OGA exactly. No change.
0-RESOLVED-NOACTION,Riverside Golf Club,Grand Prairie,riverside-golf-club,Y,WHITE,69,120,68.4,119,R+0.6 S+1,1,"RESOLVED here — differences are ~0.3-0.6, mixed direction (re-rating/rounding). Immaterial. Leave as-is."
0-RESOLVED-NOACTION,Sherrill Park,Richardson,sherrill-park,n,Middle,65,115,68,121,R-3.0 S-6,2,"RESOLVED here — our entry is Course #2 (par 70, 6375y, Pro 69.4/125); OGA matched Course #1 (par 72, ~6900y, Pro 74.4/132). DIFFERENT courses — ours is correct. NOTE: Sherrill Park Course #1 appears MISSING from the library — consider adding it (needs GPS)."
0-RESOLVED-NOACTION,Sherrill Park,Richardson,sherrill-park,n,Pro,69.4,125,74.4,132,R-5.0 S-7,2,"RESOLVED here — our entry is Course #2 (par 70, 6375y, Pro 69.4/125); OGA matched Course #1 (par 72, ~6900y, Pro 74.4/132). DIFFERENT courses — ours is correct. NOTE: Sherrill Park Course #1 appears MISSING from the library — consider adding it (needs GPS)."
0-RESOLVED-NOACTION,The Club at Sonterra South Course,TX,the-club-at-sonterra-south-course,Y,Blue+,70.8,126,71.6,127,R-0.8 S-1,2,"RESOLVED here — ratings are correct; only tee LABELS differ (our ""Blue+""=OGA ""Blue"", ""White+""=OGA ""White""). Cosmetic, no rating change."
0-RESOLVED-NOACTION,The Club at Sonterra South Course,TX,the-club-at-sonterra-south-course,Y,White+,68.9,123,69.9,125,R-1.0 S-2,2,"RESOLVED here — ratings are correct; only tee LABELS differ (our ""Blue+""=OGA ""Blue"", ""White+""=OGA ""White""). Cosmetic, no rating change."
2-VERIFY-IDENTITY,Hillcrest Country Club,Vernon,hillcrest-country-club,Y,Gold,72.2,133,80.4,148,R-8.2 S-15,1,Huge gap -> likely a wrong course/tee match (common name) or a bad legacy value. Confirm this is the same course + tee before trusting either.
2-VERIFY-IDENTITY,Northridge Country Club,Texarkana,northridge-country-club,Y,White,64.2,114,70.4,127,R-6.2 S-13,1,Huge gap -> likely a wrong course/tee match (common name) or a bad legacy value. Confirm this is the same course + tee before trusting either.
2-VERIFY-IDENTITY,Pecan Valley Golf Course,TX,pecan-valley-golf-course,Y,Blue,69.5,126,71.8,126,R-2.3 S+0,2,Huge gap -> likely a wrong course/tee match (common name) or a bad legacy value. Confirm this is the same course + tee before trusting either.
2-VERIFY-IDENTITY,Pecan Valley Golf Course,TX,pecan-valley-golf-course,Y,Gold,74.4,132,63.5,106,R+10.9 S+26,2,Huge gap -> likely a wrong course/tee match (common name) or a bad legacy value. Confirm this is the same course + tee before trusting either.
2-VERIFY-IDENTITY,Shady Oaks Golf Course,Baird,shady-oaks-golf-course,Y,Black,64.3,101,74,137,R-9.7 S-36,2,Huge gap -> likely a wrong course/tee match (common name) or a bad legacy value. Confirm this is the same course + tee before trusting either.
2-VERIFY-IDENTITY,Shady Oaks Golf Course,Baird,shady-oaks-golf-course,Y,White,66.8,113,71.9,133,R-5.1 S-20,2,Huge gap -> likely a wrong course/tee match (common name) or a bad legacy value. Confirm this is the same course + tee before trusting either.
3-VERIFY-RATING,Balcones Country Club,TX,balcones-country-club-2,Y,Black,69.3,115,70.2,118,R-0.9 S-3,4,4 tees all off the same direction (~0.9) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Balcones Country Club,TX,balcones-country-club-2,Y,Blue,68,112,68.9,117,R-0.9 S-5,4,4 tees all off the same direction (~0.9) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Balcones Country Club,TX,balcones-country-club-2,Y,Green,63.2,103,64,106,R-0.8 S-3,4,4 tees all off the same direction (~0.9) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Balcones Country Club,TX,balcones-country-club-2,Y,White,66.3,109,67.1,113,R-0.8 S-4,4,4 tees all off the same direction (~0.9) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Dallas National Golf Club,TX,dallas-national-golf-club,Y,I,74.7,147,73.5,140,R+1.2 S+7,4,4 tees all off the same direction (~1.2) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Dallas National Golf Club,TX,dallas-national-golf-club,Y,II,72.1,137,71.6,133,R+0.5 S+4,4,4 tees all off the same direction (~1.2) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Dallas National Golf Club,TX,dallas-national-golf-club,Y,III,70,133,69.3,129,R+0.7 S+4,4,4 tees all off the same direction (~1.2) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Dallas National Golf Club,TX,dallas-national-golf-club,Y,Texas,77.9,155,75.9,145,R+2.0 S+10,4,4 tees all off the same direction (~1.2) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Double J Ranch Golf Club,Wimberley,double-j-ranch-golf-club,Y,Black,73.2,134,71.1,118,R+2.1 S+16,3,3 tees all off the same direction (~2.1) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Double J Ranch Golf Club,Wimberley,double-j-ranch-golf-club,Y,Blue,70.3,132,68,113,R+2.3 S+19,3,3 tees all off the same direction (~2.1) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Double J Ranch Golf Club,Wimberley,double-j-ranch-golf-club,Y,White,67.2,126,66.3,107,R+0.9 S+19,3,3 tees all off the same direction (~2.1) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Flintrock Falls Country Club,Austin,flintrock-falls-country-club,Y,Black,75.8,146,74.8,145,R+1.0 S+1,3,3 tees all off the same direction (~1.0) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Flintrock Falls Country Club,Austin,flintrock-falls-country-club,Y,Blue,73,141,72.1,138,R+0.9 S+3,3,3 tees all off the same direction (~1.0) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Flintrock Falls Country Club,Austin,flintrock-falls-country-club,Y,Gold,74.5,144,73.3,142,R+1.2 S+2,3,3 tees all off the same direction (~1.0) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Great Hills Golf Club,TX,great-hills-golf-club,Y,Blue,73.8,141,72.7,138,R+1.1 S+3,3,3 tees all off the same direction (~0.8) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Great Hills Golf Club,TX,great-hills-golf-club,Y,Gold,67.5,127,66.7,125,R+0.8 S+2,3,3 tees all off the same direction (~0.8) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Great Hills Golf Club,TX,great-hills-golf-club,Y,White,71,137,70.4,134,R+0.6 S+3,3,3 tees all off the same direction (~0.8) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Horizon Golf Course,TX,horizon-golf-course,Y,Black,72.6,128,71.4,122,R+1.2 S+6,3,3 tees all off the same direction (~0.8) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Horizon Golf Course,TX,horizon-golf-course,Y,Blue,70.2,128,69.6,118,R+0.6 S+10,3,3 tees all off the same direction (~0.8) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Horizon Golf Course,TX,horizon-golf-course,Y,White,68.5,127,67.7,115,R+0.8 S+12,3,3 tees all off the same direction (~0.8) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Horseshoe Bay Resort - Apple Rock Course,Horseshoe Bay,horseshoe-bay-resort-apple-rock-course,Y,Executive,70.2,130,70.7,126,R-0.5 S+4,3,3 tees all off the same direction (~0.5) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Horseshoe Bay Resort - Apple Rock Course,Horseshoe Bay,horseshoe-bay-resort-apple-rock-course,Y,Forward,67.9,127,68.2,122,R-0.3 S+5,3,3 tees all off the same direction (~0.5) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Horseshoe Bay Resort - Apple Rock Course,Horseshoe Bay,horseshoe-bay-resort-apple-rock-course,Y,Regular,72.3,135,72.8,131,R-0.5 S+4,3,3 tees all off the same direction (~0.5) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Indian Creek Golf Club (Creek),Carrollton,indian-creek-golf-club,Y,Blue,73.2,136,73.7,136,R-0.5 S+0,3,3 tees all off the same direction (~0.6) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Indian Creek Golf Club (Creek),Carrollton,indian-creek-golf-club,Y,Red,64.8,117,66.1,116,R-1.3 S+1,3,3 tees all off the same direction (~0.6) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Indian Creek Golf Club (Creek),Carrollton,indian-creek-golf-club,Y,White,70,128,70.6,134,R-0.6 S-6,3,3 tees all off the same direction (~0.6) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Indian Creek Golf Course (Lakes),Carrollton,indian-creek-golf-course-lakes,n,Black,74,131,75.6,139,R-1.6 S-8,3,3 tees all off the same direction (~1.6) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Indian Creek Golf Course (Lakes),Carrollton,indian-creek-golf-course-lakes,n,Blue,71.9,127,73.7,136,R-1.8 S-9,3,3 tees all off the same direction (~1.6) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Indian Creek Golf Course (Lakes),Carrollton,indian-creek-golf-course-lakes,n,White,69.6,125,70.6,134,R-1.0 S-9,3,3 tees all off the same direction (~1.6) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Omni Barton Creek Resort Crenshaw Cliffside Course,Austin,omni-barton-creek-resort-crenshaw-cliffside-cour,Y,Blue,69.3,123,70,127,R-0.7 S-4,3,3 tees all off the same direction (~0.7) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Omni Barton Creek Resort Crenshaw Cliffside Course,Austin,omni-barton-creek-resort-crenshaw-cliffside-cour,Y,Gold,71.5,135,72.2,130,R-0.7 S+5,3,3 tees all off the same direction (~0.7) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
